#x[m]	y[m]	z[m]	pd[W/m^2]
0.000347898	-0.000928359	0.0382791	0
0.000318929	-0.000911996	0.0382791	0
0.000309146	-0.000952482	0.0382791	0
0.000254281	-0.000832799	0.0382791	0
0.000236895	-0.0007912	0.0382791	0
0.000274679	-0.000798147	0.0382791	0
0.000364681	-0.000826959	0.0382791	0
0.000344014	-0.000797188	0.0382791	0
0.000383253	-0.000794858	0.0382791	0
0.000117058	-0.000741015	0.0382791	0
0.000180468	-0.00075615	0.0382791	0
0.000215931	-0.000754498	0.0382791	0
0.000142516	-0.000710823	0.0382791	0
0.000151624	-0.000645042	0.0382791	0
0.000129227	-0.000674395	0.0382791	0
0.000173229	-0.000616132	0.0382791	0
0.000138311	-0.00061181	0.0382791	0
0.000342403	-0.000732936	0.0382791	0
0.000301754	-0.000740275	0.0382791	0
0.000315425	-0.000703783	0.0382791	0
0.000260798	-0.000651129	0.0382791	0
0.000285923	-0.000676546	0.0382791	0
0.000293469	-0.00064431	0.0382791	0
0.000324829	-0.000667206	0.0382791	0
0.000361591	-0.000648902	0.0382791	0
0.000363925	-0.00069384	0.0382791	0
0.000325571	-0.000630814	0.0382791	0
0.000435646	-0.000851244	0.0382791	0
0.000422799	-0.000790317	0.0382791	0
0.000401935	-0.000761887	0.0382791	0
0.000384058	-0.000731727	0.0382791	0
0.000363485	-0.000764358	0.0382791	0
0.000417214	-0.000734588	0.0382791	0
0.00041388	-0.000703823	0.0382791	0
0.000439387	-0.00075568	0.0382791	0
0.00044681	-0.000719822	0.0382791	0
0.000445681	-0.000682809	0.0382791	0
